,Date,Non-farm_Payrolls,Civilian_Unemployment_Rate,Effective_Fed_Funds,CPI_All_Items,10Y_Treasury_Rate,5Y_Treasury_Rate,3_Month_T-Bill_Rate,IPI,S&P_500_Index,Non-farm_Payrolls_3_mo_annualised,Non-farm_Payrolls_12_mo_annualised,CPI_All_Items_3_mo_annualised,CPI_All_Items_12_mo_annualised,IPI_3_mo_annualised,IPI_12_mo_annualised
480,1980-02-01,90883.0,6.3,14.13,79.0,12.41,12.6,12.86,53.5053,113.660004,1.0137610620613624,1.003422653550175,1.1674922223298625,1.0394736842105263,1.0237843012790686,1.005893765580409
481,1980-01-01,90800.0,6.3,13.82,78.0,10.8,10.74,12.0,53.5037,114.160004,1.0141771629053227,1.003525602060101,1.1574628170173928,1.0372340425531914,1.020036488437671,1.0049719190818762
482,1979-12-01,90672.0,6.0,13.78,76.9,10.39,10.42,12.04,53.2603,107.940002,1.015365576459656,1.0038194559766183,1.1413362655123962,1.0336021505376345,1.0237561114312994,1.0058868412007116
483,1979-11-01,90573.0,5.9,13.18,76.0,10.65,10.93,11.79,53.1918,106.160004,1.0121479743248032,1.0030232558139536,1.1307964012651024,1.0312075983717774,1.023028574946744,1.0057080841521728
484,1979-10-01,90481.0,6.0,13.77,75.2,10.3,10.63,11.7,53.239,101.82,1.01175658992441,1.00292627775253,1.1261076839794408,1.0301369863013699,0.9996769937913365,0.999919238664771
485,1979-09-01,90327.0,5.9,11.43,74.4,9.33,9.41,10.26,52.9486,109.32,1.0097571663484919,1.0024304168331335,1.1275685443490089,1.0304709141274238,0.9727415431126438,0.9931145985141338
486,1979-08-01,90300.0,6.0,10.94,73.7,9.03,9.06,9.52,52.8899,109.32,1.0229595526380797,1.0056911202931316,1.1352123425691842,1.0322128851540615,0.9682171597955288,0.9919577934195695
487,1979-07-01,90217.0,5.7,10.47,73.0,8.95,8.9,9.24,53.2433,103.809998,1.0362705254493283,1.0089468445597594,1.1430694985520298,1.0339943342776206,1.0266934353804218,1.0066075797163372
488,1979-06-01,90108.0,5.7,10.29,72.2,8.91,8.85,9.06,53.3157,102.910004,1.0284162115192583,1.0070295823601068,1.1382563644326094,1.032904148783977,0.9864907267003689,0.9966054361621988
489,1979-05-01,89789.0,5.6,10.24,71.4,9.25,9.24,9.61,53.3187,99.080002,1.0333782275848717,1.0082420975801472,1.1333615354756954,1.0317919075144508,0.9991302343445637,0.9997824876289839
490,1979-04-01,89417.0,5.8,10.01,70.6,9.18,9.25,9.46,52.8938,101.760002,1.0277134044154235,1.0068574903161878,1.128382957653402,1.0306569343065692,0.9886246511816922,0.9971439505479279
491,1979-03-01,89479.0,5.8,10.09,69.9,9.12,9.2,9.48,53.4973,101.589996,1.0369505879865615,1.0091123366151278,1.1231289086443959,1.0294550810014726,1.0081689666411737,1.0020360151792707
492,1979-02-01,89055.0,5.9,10.06,69.2,9.1,9.13,9.32,53.3303,96.279999,1.0303885947423337,1.007512077021416,1.1046108035882818,1.0251851851851852,1.017101437016646,1.0042482115518965
493,1979-01-01,88808.0,5.9,10.07,68.5,9.1,9.2,9.35,53.0453,99.93,1.0393132789746677,1.0096866615125746,1.0861059810152907,1.0208643815201193,1.0260468346546507,1.0064490545560796
494,1978-12-01,88671.0,6.0,10.03,67.9,9.01,9.08,9.08,53.3886,96.110001,1.048802233916785,1.0119834286301228,1.086907325757169,1.0210526315789474,1.087057348078445,1.0210878629078528
495,1978-11-01,88391.0,5.9,9.76,67.5,8.81,8.84,8.64,53.1047,94.699997,1.0421674832805072,1.0103791593795366,1.1007113201334828,1.024279210925645,1.074908150210159,1.0182228502731319
496,1978-10-01,87956.0,5.8,8.96,67.1,8.64,8.61,7.99,52.7054,93.150002,1.0349425853181695,1.0086234576395579,1.1013487943502709,1.0244274809160305,1.058694438766265,1.0143612680718717
497,1978-09-01,87621.0,6.0,8.45,66.5,8.42,8.43,7.85,52.286,102.540001,1.031227476809878,1.0077170787809087,1.0955524001260457,1.023076923076923,1.0234963323060395,1.0058230239326862
498,1978-08-01,87483.0,5.9,8.04,65.9,8.41,8.33,7.08,52.1543,103.290001,1.0458020845417648,1.0112589441560993,1.0896895845078258,1.0217054263565892,1.0414363615743683,1.0102019075068374
499,1978-07-01,87204.0,6.2,7.81,65.5,8.64,8.54,7.01,51.9592,100.68,1.0492586055985664,1.0120934982939114,1.103981427758484,1.0250391236306728,1.0412476967747126,1.010156152793331
500,1978-06-01,86950.0,5.9,7.6,65.0,8.46,8.36,6.73,51.9833,95.529999,1.0715854088179675,1.0174350573367656,1.1048323829324966,1.025236593059937,1.1323519277460738,1.0315620485466177
501,1978-05-01,86509.0,6.0,7.36,64.5,8.35,8.18,6.41,51.6276,97.239998,1.0755547777142926,1.0183759476385554,1.098693767000375,1.0238095238095237,1.1881069505891917,1.04403217782739
502,1978-04-01,86162.0,6.1,6.89,63.9,8.15,7.98,6.29,51.4368,96.830002,1.0762293745343678,1.018535593540913,1.0787809514675588,1.0191387559808611,1.1939945315436014,1.0453231883527818
503,1978-03-01,85460.0,6.3,6.79,63.4,8.04,7.86,6.29,50.3928,89.209999,1.0506932757184642,1.012439284444971,1.0725186303223488,1.0176565008025682,1.040517367717686,1.0099789758071467
504,1978-02-01,84948.0,6.3,6.78,63.0,8.03,7.83,6.45,49.4502,87.040001,1.0373406794508582,1.0092072279709645,1.066093854389884,1.0161290322580645,0.9712851625258587,0.9927426688910437
505,1978-01-01,84594.0,6.4,6.7,62.7,7.96,7.77,6.44,49.2066,89.25,1.0384418187938962,1.0094749403341288,1.0733647153855161,1.0178571428571428,0.9563125911812234,0.988894515989003
506,1977-12-01,84410.0,6.4,6.56,62.3,7.69,7.48,6.07,49.8949,95.099998,1.0427113042545326,1.010510941914476,1.066867016431838,1.0163132137030995,1.0187352718518794,1.0046512658087665
507,1977-11-01,84173.0,6.8,6.51,62.0,7.58,7.34,6.1,49.8117,94.830002,1.0539252865724542,1.0132169726151068,1.0602344633138223,1.0147299509001637,1.0315899693491823,1.007805624176798
508,1977-10-01,83800.0,6.8,6.47,61.6,7.52,7.32,6.16,49.7592,92.339996,1.0474698708077337,1.011661877972813,1.0536795022003367,1.0131578947368423,1.0284041644290813,1.0070266332065085
509,1977-09-01,83532.0,6.8,6.14,61.3,7.34,7.04,5.81,49.6639,96.529999,1.0515947852988463,1.0126563863834739,1.0539509495648096,1.0132231404958678,1.0262853323541685,1.0065075350405732
510,1977-08-01,83075.0,7.0,5.9,61.1,7.4,7.03,5.49,49.4259,96.769997,1.0489691150716427,1.0120236819023487,1.0611551251032696,1.0149501661129567,1.036144917336778,1.0089162691292552
511,1977-07-01,82834.0,6.9,5.42,60.8,7.33,6.84,5.19,49.412,98.849998,1.0552395247782822,1.0135326938136258,1.0544095130864193,1.0133333333333332,1.069950804888816,1.017046834541555
512,1977-06-01,82488.0,7.2,5.39,60.5,7.28,6.76,5.02,49.3428,100.480003,1.0550123845002657,1.0134781486896585,1.0617846918154066,1.0151006711409396,1.1045760472140052,1.0251771207745528
